incident,category,emergency
water not draining properly after rain,Drainage,False
drain blocked near my house,Drainage,False
sewage overflowing on main road,Drainage,False
gutter jam causing waterlogging,Drainage,False
naali blocked for many days,Drainage,False
dirty water coming out of drain,Drainage,False
drainage water entering homes,Drainage,False
sewer overflow near market,Drainage,False
manhole overflow on road,Drainage,False
storm water drain completely blocked,Drainage,False
bad smell coming from sewer line,Drainage,False
drainage water stagnating near houses,Drainage,False
overflowing gutter after light rain,Drainage,False
sewer chamber leaking continuously,Drainage,False
drainage system failure reported,Drainage,False
waterlogging due to blocked drainage,Drainage,False
sewer line choked badly,Drainage,False
drain overflow causing traffic jam,Drainage,False
naali ka pani sadak par aa raha hai,Drainage,False
sewage water flowing openly,Drainage,False
drain blocked with plastic waste,Drainage,False
water accumulated near drain outlet,Drainage,False
sewer water backing up into homes,Drainage,False
drainage overflow creating foul smell,Drainage,False
manhole cover missing and overflowing,Drainage,False
rainwater mixed with sewage,Drainage,False
drainage water flooding street,Drainage,False
sewer blockage not cleared,Drainage,False
naali overflow after rainfall,Drainage,False
drain water stagnant for days,Drainage,False
sewer line damaged and leaking,Drainage,False
drainage issue near residential area,Drainage,False
water not flowing in drain,Drainage,False
overflowing sewer creating health hazard,Drainage,False
blocked drain near school,Drainage,False
sewage water spreading on road,Drainage,False
drain clogged due to debris,Drainage,False
naali jam hone se pani bhar gaya,Drainage,False
drainage problem causing mosquito breeding,Drainage,False
sewer overflow near hospital,Drainage,False
drainage water entering shops,Drainage,False
storm drain blocked with garbage,Drainage,False
sewage smell unbearable,Drainage,False
drain overflow near bus stop,Drainage,False
water stagnation due to drainage failure,Drainage,False
sewer water leaking from manhole,Drainage,False
naali ka pani ghar ke andar aa raha hai,Drainage,False
drainage line broken,Drainage,False
overflowing gutter near houses,Drainage,False
sewage blockage reported multiple times,Drainage,False
drain filled with mud and waste,Drainage,False
waterlogging after every rain,Drainage,False
sewer overflow causing accidents,Drainage,False
naali ka pani sadak par jama hai,Drainage,False
drainage water affecting hygiene,Drainage,False
sewer chamber lid broken,Drainage,False
blocked drain near playground,Drainage,False
dirty sewer water on street,Drainage,False
drainage overflow near market area,Drainage,False
storm water drain not working,Drainage,False
sewage water flooding low-lying area,Drainage,False
drain blockage unresolved,Drainage,False
naali se ganda pani bahar aa raha hai,Drainage,False
drain water flowing backward,Drainage,False
sewer overflow during rain,Drainage,False
drainage water damaging road,Drainage,False
blocked sewer line causing overflow,Drainage,False
overflowing drain near residential gate,Drainage,False
water not draining from street,Drainage,False
sewage leak near footpath,Drainage,False
naali jam hone se badbu aa rahi hai,Drainage,False
drainage issue reported many times,Drainage,False
sewer overflow creating unhygienic conditions,Drainage,False
drain blocked near commercial area,Drainage,False
stagnant sewer water near houses,Drainage,False
drainage failure during monsoon,Drainage,False
naali ka ganda pani jama hai,Drainage,False
drain overflow affecting daily life,Drainage,False
sewage water entering basement,Drainage,False
drainage problem causing illness,Drainage,False
blocked drain near crossing,Drainage,False
overflowing sewer not repaired,Drainage,False

someone dumped garbage in empty plot,Illegal_Dumping,False
construction debris thrown on roadside,Illegal_Dumping,False
kooda road ke side daala hua hai,Illegal_Dumping,False
plastic waste dumped near school,Illegal_Dumping,False
garbage pile left near residential area,Illegal_Dumping,False
illegal dumping happening at night,Illegal_Dumping,False
dumped waste attracting animals,Illegal_Dumping,False
unauthorized garbage dumping reported,Illegal_Dumping,False
garbage dumped near water body,Illegal_Dumping,False
waste dumped beside highway,Illegal_Dumping,False
debris dumped without permission,Illegal_Dumping,False
open dumping creating foul smell,Illegal_Dumping,False
garbage dumped near park,Illegal_Dumping,False
dumping trash in vacant land,Illegal_Dumping,False
illegal dumping near river bank,Illegal_Dumping,False
garbage dumped behind houses,Illegal_Dumping,False
construction waste dumped illegally,Illegal_Dumping,False
trash dumped in open area,Illegal_Dumping,False
kooda khule mein phenk diya gaya hai,Illegal_Dumping,False
illegal dumping near market area,Illegal_Dumping,False
garbage dumped near bus stop,Illegal_Dumping,False
waste dumped on empty land,Illegal_Dumping,False
unauthorized dumping of debris,Illegal_Dumping,False
illegal trash dumping complaint,Illegal_Dumping,False
garbage dumped near drainage,Illegal_Dumping,False
dumped waste causing health issues,Illegal_Dumping,False
construction material dumped on footpath,Illegal_Dumping,False
illegal dumping near playground,Illegal_Dumping,False
kooda gali ke kone mein dala gaya hai,Illegal_Dumping,False
waste dumped in public place,Illegal_Dumping,False
garbage dumped near hospital,Illegal_Dumping,False
illegal dumping causing pollution,Illegal_Dumping,False
trash dumped along roadside,Illegal_Dumping,False
construction debris dumped at night,Illegal_Dumping,False
garbage dumped near railway track,Illegal_Dumping,False
dumped waste blocking pathway,Illegal_Dumping,False
illegal dumping in residential colony,Illegal_Dumping,False
kooda nadi ke paas dala gaya hai,Illegal_Dumping,False
waste dumped near lake,Illegal_Dumping,False
garbage dumped without approval,Illegal_Dumping,False
illegal dumping behind commercial area,Illegal_Dumping,False
trash dumped in open plot,Illegal_Dumping,False
garbage dumped near school gate,Illegal_Dumping,False
dumped waste attracting insects,Illegal_Dumping,False
illegal dumping creating bad odor,Illegal_Dumping,False
construction waste dumped near homes,Illegal_Dumping,False
garbage dumped in unused land,Illegal_Dumping,False
kooda sadak ke beech dala gaya hai,Illegal_Dumping,False
illegal dumping near bridge,Illegal_Dumping,False
trash dumped in empty field,Illegal_Dumping,False
garbage dumped near temple area,Illegal_Dumping,False
dumped waste causing traffic obstruction,Illegal_Dumping,False
illegal dumping on government land,Illegal_Dumping,False
construction debris dumped near road,Illegal_Dumping,False
garbage dumped near residential gate,Illegal_Dumping,False
illegal dumping complaint unresolved,Illegal_Dumping,False
trash dumped beside canal,Illegal_Dumping,False
kooda khali plot mein dala gaya hai,Illegal_Dumping,False
illegal dumping harming environment,Illegal_Dumping,False
garbage dumped near children park,Illegal_Dumping,False
